"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CST3",6.04829104403631e-273,-1.25250408458813,0.006,0.373,1.22048464977609e-268,"0","CST3"
"IFITM3",5.989130889119e-214,-0.786169587840104,0.019,0.328,1.20854672211532e-209,"0","IFITM3"
"MT.RNR2",7.04826176304603e-205,-1.06899732405885,0.992,0.99,1.42226874116506e-200,"0","MT.RNR2"
"FTL",5.2343222134814e-203,-2.62857275201239,0.389,0.631,1.05623387945841e-198,"0","FTL"
"GSN",7.06368266890962e-199,-1.1183964400958,0.006,0.295,1.42538052575927e-194,"0","GSN"
"PSAP",9.76791083665861e-198,-1.48485850978578,0.106,0.412,1.97106672772934e-193,"0","PSAP"
"HLA.DRA",1.56647244510472e-182,-1.6880855872143,0.033,0.311,3.16098474697682e-178,"0","HLA.DRA"
"VIM",2.11553976625343e-174,-1.41503920745101,0.438,0.634,4.26894769432279e-170,"0","VIM"
"TIMP3",5.14984098391978e-166,-0.785460455950762,0.002,0.25,1.03918641214517e-161,"0","TIMP3"
"CD63",1.40635405997064e-162,-0.935402327224036,0.132,0.406,2.83788185761475e-158,"0","CD63"
"CEBPD",1.40871833248606e-160,-0.661332974040003,0.06,0.323,2.84265272312363e-156,"0","CEBPD"
"FTH1",3.30632093553235e-159,-1.79667846105611,0.393,0.608,6.67182501581072e-155,"0","FTH1"
"IL7R",1.42018518163399e-151,0.329778288512288,0.518,0.254,2.86579167801924e-147,"0","IL7R"
"CD74",5.70431321499572e-150,-2.12896538112944,0.282,0.503,1.15107336365399e-145,"0","CD74"
"MT.RNR1",1.99922207522739e-147,-0.856596996729797,0.82,0.879,4.03423022560135e-143,"0","MT.RNR1"
"CCL5",3.72363477236199e-147,0.280351963857254,0.62,0.333,7.51392260714926e-143,"0","CCL5"
"CTSB",5.03385478249932e-146,-1.29223614403834,0.045,0.287,1.01578155656054e-141,"0","CTSB"
"GRN",4.78712506247118e-145,-1.13984342226166,0.026,0.26,9.65993966356059e-141,"0","GRN"
"LMNA",1.57487323313273e-140,-0.638174830963201,0.043,0.278,3.17793669713853e-136,"0","LMNA"
"IGFBP4",2.6140931604674e-140,-0.625781676344766,0.012,0.232,5.27497858850717e-136,"0","IGFBP4"
"ANXA2",6.24830377560036e-140,-0.879556548067869,0.091,0.336,1.2608452188784e-135,"0","ANXA2"
"MT.ND3",1.0269557446901e-137,-0.753238250060565,0.943,0.941,2.07229399721015e-133,"0","MT.ND3"
"APLP2",4.74155456669242e-132,-0.538719899652381,0.043,0.268,9.56798296012864e-128,"0","APLP2"
"IGFBP7",2.09282669577749e-129,-0.735059717871468,0.008,0.213,4.22311498940939e-125,"0","IGFBP7"
"APOE",3.10919240072224e-129,-1.93226035123957,0.01,0.216,6.2740393454174e-125,"0","APOE"
"TIMP2",2.073803876076e-128,-0.517168309696331,0.007,0.21,4.18472884153377e-124,"0","TIMP2"
"SERPING1",3.65972394873187e-128,-0.477673656934695,0.002,0.201,7.38495695614603e-124,"0","SERPING1"
"FN1",4.50572541209393e-128,-1.40984237258674,0.003,0.204,9.09210330906435e-124,"0","FN1"
"LAPTM4A",4.8593869858614e-127,-0.405972340387616,0.039,0.256,9.80575699876971e-123,"0","LAPTM4A"
"A2M",3.42761033029691e-124,-0.476610505654458,0.002,0.196,6.91657488550614e-120,"0","A2M"
"LRP1",4.31314872885864e-123,-0.604248635829801,0.002,0.195,8.70350281996385e-119,"0","LRP1"
"CD59",1.04596605272062e-122,-0.392696425546785,0.018,0.22,2.11065489778493e-118,"0","CD59"
"NPC2",2.29909815828177e-121,-0.675522959593618,0.031,0.237,4.63935017359679e-117,"0","NPC2"
"LGALS3",1.82861024701112e-120,-0.758295110530748,0.066,0.283,3.68995261744374e-116,"0","LGALS3"
"KLF4",2.17594701567508e-118,-0.40190955642041,0.004,0.192,4.39084348293075e-114,"0","KLF4"
"GNAS",1.31407474158458e-117,-0.673326704197545,0.333,0.537,2.65167142104352e-113,"0","GNAS"
"RHOB",3.65411070741592e-117,-0.487650728123327,0.023,0.221,7.37362999649459e-113,"0","RHOB"
"CD9",1.38034561664366e-115,-0.734458992146992,0.028,0.225,2.78539941982525e-111,"0","CD9"
"MARCKS",2.97367615103276e-113,-0.396412008928607,0.002,0.181,6.000581105169e-109,"0","MARCKS"
"FCGRT",5.98908649518408e-112,-0.39657049882027,0.01,0.193,1.2085377638632e-107,"0","FCGRT"
"MGP",2.33979356142856e-111,-1.02058343437914,0.012,0.194,4.72146942760669e-107,"0","MGP"
"CD81",9.05811046608056e-111,-0.615244150987467,0.16,0.377,1.8278361109504e-106,"0","CD81"
"LYZ",1.33596717586929e-109,-1.25695665363626,0.011,0.191,2.69584816418665e-105,"0","LYZ"
"HSPB1",4.29284941244e-109,-0.437355195293994,0.072,0.276,8.66254082936268e-105,"0","HSPB1"
"MT.ND4",1.83420440760847e-108,-0.648741609402818,0.979,0.973,3.70124107411312e-104,"0","MT.ND4"
"HLA.DRB1",2.15387375705568e-105,-0.737345368253588,0.009,0.182,4.34630185436265e-101,"0","HLA.DRB1"
"RAC1",9.46528883721437e-104,-0.362174079912656,0.073,0.272,1.91000063446149e-99,"0","RAC1"
"SPP1",5.28262313416102e-103,-2.31838175201457,0.007,0.176,1.06598052224235e-98,"0","SPP1"
"S100A6",2.60233728372665e-102,-0.723408851962946,0.414,0.576,5.25125640483202e-98,"0","S100A6"
"GPNMB",2.80208596038864e-102,-0.88465097043561,0.003,0.167,5.65432925946823e-98,"0","GPNMB"
"APP",3.86053048020548e-102,-0.269369126895717,0.015,0.188,7.79016445600664e-98,"0","APP"
"SPARC",2.30306498837807e-101,-0.54195666159759,0.003,0.166,4.6473548400481e-97,"0","SPARC"
"TUBA1B",7.69258593085537e-101,-0.644998513112909,0.121,0.322,1.5522869149873e-96,"0","TUBA1B"
"MT.CO3",1.38125260460064e-99,-0.648895833570119,0.984,0.976,2.78722963082364e-95,"0","MT.CO3"
"COL1A1",2.73736836859712e-99,-1.34390410260424,0.014,0.182,5.52373563099212e-95,"0","COL1A1"
"NEAT1",3.29813163196528e-99,-0.65433045992727,0.188,0.389,6.65529982014275e-95,"0","NEAT1"
"MT.CYB",5.04443615355924e-99,-0.610006950609681,0.964,0.957,1.01791677142672e-94,"0","MT.CYB"
"HLA.DPA1",6.51881043364785e-99,-0.75721136789457,0.044,0.224,1.3154307574058e-94,"0","HLA.DPA1"
"GPX1",3.90900996220212e-98,-0.600415196501664,0.042,0.221,7.88799120272766e-94,"0","GPX1"
"MAFB",4.14508625522106e-98,-0.545837521982554,0.002,0.161,8.36436955441059e-94,"0","MAFB"
"PTMS",3.80796297456877e-96,-0.274772111673849,0.015,0.179,7.68408848638231e-92,"0","PTMS"
"TYROBP",3.99281641341913e-95,-0.951459708910225,0.031,0.201,8.05710424063846e-91,"0","TYROBP"
"MT2A",8.61630930884485e-95,-0.646268714133673,0.114,0.308,1.7386850554318e-90,"0","MT2A"
"CTSD",1.68109106901917e-93,-1.396130676217,0.159,0.352,3.39227366817378e-89,"0","CTSD"
"RTN4",1.86738949672564e-93,-0.431057130397812,0.079,0.265,3.76820526544267e-89,"0","RTN4"
"PDK4",5.64085360685117e-90,-0.342790348257231,0.002,0.148,1.1382678493265e-85,"0","PDK4"
"SAT1",1.32940671964409e-88,-0.557578253097812,0.064,0.237,2.68260981956981e-84,"0","SAT1"
"HLA.DQB1",2.18357424609805e-85,-0.605105838397135,0.025,0.178,4.40623447120126e-81,"0","HLA.DQB1"
"PLD3",3.82460779774192e-85,-0.825633669605152,0.036,0.196,7.71767607506343e-81,"0","PLD3"
"ACTG1",5.46475631424816e-85,-0.787582893485816,0.579,0.678,1.10273317665214e-80,"0","ACTG1"
"BRI3",2.14921835599844e-84,-0.458349542320936,0.044,0.205,4.33690772056925e-80,"0","BRI3"
"SEPP1",2.35243456435627e-84,-0.303680163510268,0,0.137,4.74697770741452e-80,"0","SEPP1"
"ADIRF",4.30380638251873e-84,-0.285309752980403,0.001,0.138,8.68465089928455e-80,"0","ADIRF"
"HLA.DPB1",5.66865895150535e-84,-0.748753279299289,0.079,0.248,1.14387868982426e-79,"0","HLA.DPB1"
"TUBB",1.48162006984296e-83,-0.398775389725848,0.11,0.288,2.98976113893611e-79,"0","TUBB"
"RPL8",1.80104458810551e-83,-0.471645053176162,0.489,0.627,3.63432787433811e-79,"0","RPL8"
"PRDX1",1.81050821607385e-83,-0.434966399859482,0.065,0.233,3.65342452921542e-79,"0","PRDX1"
"GLUL",2.33798487808608e-83,-0.472008006687048,0.096,0.271,4.7178196854899e-79,"0","GLUL"
"CALR",6.26418948601987e-83,-0.655812260859011,0.205,0.386,1.26405079638395e-78,"0","CALR"
"EGR1",6.85908953291613e-83,-0.516009673688904,0.046,0.207,1.38409567684715e-78,"0","EGR1"
"RPL37A",2.48601543688178e-82,-0.493524251090116,0.697,0.768,5.01653055008375e-78,"0","RPL37A"
"EMP1",4.2938123444814e-82,-0.279803084738963,0.002,0.136,8.66448392992902e-78,"0","EMP1"
"PECAM1",5.77838807453670e-81,-0.305949954146305,0.025,0.172,1.16602092956076e-76,"0","PECAM1"
"MGLL",2.26044856099222e-79,-0.389999413098385,0.002,0.134,4.56135915122619e-75,"0","MGLL"
"S100A11",3.66808575474686e-79,-0.818681005564043,0.198,0.374,7.40183024450368e-75,"0","S100A11"
"RAB31",1.83508139564201e-78,-0.269160669432046,0,0.129,3.70301074826601e-74,"0","RAB31"
"GRINA",2.76646735798937e-78,-0.283572168463841,0.03,0.177,5.58245448168675e-74,"0","GRINA"
"CD68",1.13795552044529e-77,-0.760569940228013,0.001,0.128,2.29628044470655e-73,"0","CD68"
"CSTB",1.51581671279018e-77,-1.12287533017747,0.113,0.282,3.0587665447393e-73,"0","CSTB"
"MT.CO2",2.6314682729836e-77,-0.612890547416544,0.959,0.942,5.31003982805361e-73,"0","MT.CO2"
"DCN",3.12887325591914e-77,-1.12948963677868,0.004,0.134,6.31375334311923e-73,"0","DCN"
"AHNAK",2.17555043660472e-76,-0.4800387092283,0.38,0.534,4.39004322602467e-72,"0","AHNAK"
"ENG",3.44020711610565e-76,-0.264738295475986,0.006,0.135,6.94199393958959e-72,"0","ENG"
"APOD",8.49437639755403e-76,-1.17629552885986,0.005,0.132,1.71408021326243e-71,"0","APOD"
"CLU",1.09944406863769e-75,-0.370826016863239,0.02,0.157,2.21856818610399e-71,"0","CLU"
"IFI27",6.13481114545978e-75,-0.476137167907928,0.006,0.134,1.23794354104233e-70,"0","IFI27"
"GSTP1",7.33028380464081e-75,-0.302300868345486,0.063,0.22,1.47917796893847e-70,"0","GSTP1"
"ITM2B",7.78738241349729e-75,-0.426615354177355,0.342,0.499,1.57141589721962e-70,"0","ITM2B"
"GNS",1.21029769737609e-74,-0.289550480513564,0.021,0.158,2.44225972353521e-70,"0","GNS"
"RHOA",5.49046047499931e-74,-0.484536697724566,0.28,0.447,1.10792001925011e-69,"0","RHOA"
"FABP4",6.04047497970866e-74,-0.644404135966131,0.001,0.123,1.21890744615541e-69,"0","FABP4"
"TPM4",1.24866990271398e-73,-0.288229838737822,0.037,0.181,2.51969099668654e-69,"0","TPM4"
"TMBIM6",5.63366369399051e-73,-0.462546652834485,0.275,0.439,1.13681699681035e-68,"0","TMBIM6"
"PLTP",1.06256397897809e-72,-0.307922901643831,0.001,0.121,2.14414785317989e-68,"0","PLTP"
"ANXA5",2.39141270641587e-72,-0.423159356487569,0.057,0.207,4.82563170027658e-68,"0","ANXA5"
"CALM2",4.26017407563445e-72,-0.417452175350218,0.146,0.312,8.59660526722275e-68,"0","CALM2"
"SGK1",8.89976447433885e-72,-0.501813345550646,0.018,0.149,1.79588347327684e-67,"0","SGK1"
"C1QA",1.19706414038072e-71,-0.705996261798879,0,0.118,2.41555572887425e-67,"0","C1QA"
"SQSTM1",3.78423413054465e-71,-0.317643039074294,0.068,0.22,7.63620605202605e-67,"0","SQSTM1"
"EEF2",6.3661289840319e-71,-0.384138947647959,0.402,0.551,1.2846211676878e-66,"0","EEF2"
"GAPDH",1.23068133926924e-70,-0.715015372981596,0.376,0.519,2.48339187451139e-66,"0","GAPDH"
"TMSB10",1.44667576100232e-70,-0.797221105081065,0.625,0.696,2.91924701812658e-66,"0","TMSB10"
"ACP5",2.69868632664229e-70,-0.966254777205391,0.011,0.135,5.44567913853147e-66,"0","ACP5"
"CFD",3.5442893645297e-70,-0.483932262698142,0.006,0.127,7.15202150868447e-66,"0","CFD"
"RPS8",1.40447204492522e-69,-0.461520926302524,0.727,0.784,2.83408413945459e-65,"0","RPS8"
"NACA",5.75920706658799e-69,-0.37697776983943,0.344,0.5,1.16215039396679e-64,"0","NACA"
"RNF130",1.31196544432347e-68,-0.29891353015398,0.017,0.142,2.64741507010033e-64,"0","RNF130"
"GNB2",1.50980251904312e-68,-0.331509927942728,0.12,0.28,3.04663050317712e-64,"0","GNB2"
"VAT1",2.14131814227073e-68,-0.299013015312802,0.023,0.152,4.32096587928811e-64,"0","VAT1"
"TMEM176B",2.66203102067901e-68,-0.266743665266611,0,0.112,5.37171239662817e-64,"0","TMEM176B"
"CXCL16",3.43034509574083e-68,-0.353990192472606,0.004,0.12,6.92209336869542e-64,"0","CXCL16"
"C1QB",3.79790762242917e-68,-0.708537432821151,0.002,0.115,7.66379779129982e-64,"0","C1QB"
"SYNGR2",7.37087531510989e-68,-0.327300255066977,0.049,0.189,1.48736892983602e-63,"0","SYNGR2"
"CTSZ",9.52883645988138e-68,-0.451874556301305,0.021,0.148,1.92282390923946e-63,"0","CTSZ"
"SCARB2",1.59673678910902e-67,-0.25227400289065,0.009,0.127,3.2220551667431e-63,"0","SCARB2"
"COL6A1",2.67529678319497e-67,-0.403562001159117,0.005,0.12,5.39848137880913e-63,"0","COL6A1"
"OAZ1",6.07366976379946e-67,-0.582396417468864,0.308,0.463,1.22560582163709e-62,"0","OAZ1"
"GNAI2",6.58753704385523e-67,-0.463832211062352,0.252,0.409,1.32929910007955e-62,"0","GNAI2"
"TAGLN2",6.73833937527741e-67,-0.514796755264595,0.219,0.381,1.35972950253723e-62,"0","TAGLN2"
"LGMN",8.32524997867892e-67,-0.525291834341353,0.001,0.112,1.67995219319762e-62,"0","LGMN"
"ASAH1",1.49836630533197e-66,-0.349209159895758,0.022,0.148,3.02355336752938e-62,"0","ASAH1"
"HLA.DQA1",1.7051417173677e-66,-0.512466272008006,0.009,0.126,3.44080547147629e-62,"0","HLA.DQA1"
"DYNLL1",4.89053162288671e-66,-0.294191954779705,0.094,0.245,9.86860376182309e-62,"0","DYNLL1"
"FCER1G",9.7975354801344e-66,-0.44487195124163,0.014,0.133,1.97704468453632e-61,"0","FCER1G"
"TGFBI",2.46464861350037e-65,-0.436619069351249,0.008,0.122,4.97341443718239e-61,"0","TGFBI"
"CD36",1.05751973768209e-64,-0.357546151644267,0.001,0.108,2.13396907866868e-60,"0","CD36"
"MYL6",2.74523258063758e-64,-0.452610083096235,0.209,0.368,5.53960482446857e-60,"0","MYL6"
"SPI1",8.95956305169213e-64,-0.324228119974771,0.001,0.108,1.80795022820095e-59,"0","SPI1"
"HSP90AB1",9.13434183048301e-64,-0.334123300226258,0.194,0.353,1.84321883797317e-59,"0","HSP90AB1"
"CD14",1.03970047614459e-63,-0.457543950492954,0.001,0.107,2.09801159081218e-59,"0","CD14"
"SDCBP",1.69834897233496e-63,-0.334913825195581,0.056,0.192,3.42709839127471e-59,"0","SDCBP"
"HLA.DMA",2.5128419860024e-63,-0.293606357990522,0.019,0.137,5.07066384355424e-59,"0","HLA.DMA"
"SERF2",5.72138958351876e-63,-0.556185769350462,0.358,0.501,1.15451920405825e-58,"0","SERF2"
"CCNI",1.09874677341432e-62,-0.26538548549991,0.188,0.348,2.21716111407277e-58,"0","CCNI"
"FKBP1A",1.27226116335325e-62,-0.268322786892187,0.065,0.203,2.56729580153052e-58,"0","FKBP1A"
"HLA.DMB",1.67010139643681e-62,-0.301334589239618,0.01,0.121,3.37009760786984e-58,"0","HLA.DMB"
"YWHAB",2.8324374216024e-62,-0.343335533180706,0.242,0.398,5.71557547305148e-58,"0","YWHAB"
"HMOX1",1.49697357569099e-61,-0.527672945386274,0.002,0.106,3.02074297838685e-57,"0","HMOX1"
"RAB7A",2.86692303089173e-61,-0.289244763128078,0.092,0.237,5.78516398403643e-57,"0","RAB7A"
"GPX4",5.02188541630066e-61,-0.281514077915786,0.075,0.214,1.01336625815531e-56,"0","GPX4"
"SOCS3",5.74277144448699e-61,-0.287420603760387,0.043,0.171,1.15883384978303e-56,"0","SOCS3"
"APOC1",7.53988389312699e-61,-0.785017621402696,0.002,0.105,1.52147317079409e-56,"0","APOC1"
"RPS9",1.40734938077928e-60,-0.449562722238254,0.573,0.66,2.83989031547451e-56,"0","RPS9"
"GM2A",2.3974368887653e-60,-0.381231258410725,0.012,0.122,4.8377878978395e-56,"0","GM2A"
"PKM",4.20207458691708e-60,-0.484458851768297,0.105,0.248,8.47936630893997e-56,"0","PKM"
"HSP90B1",5.73233391219159e-60,-0.296871843157105,0.115,0.261,1.15672766014114e-55,"0","HSP90B1"
"S100A10",6.38516120627992e-60,-0.637126595609624,0.208,0.355,1.28846167981522e-55,"0","S100A10"
"CEBPB",2.49787627318911e-59,-0.427307170299269,0.093,0.231,5.0404645316683e-55,"0","CEBPB"
"HEXB",3.21166144792945e-59,-0.338125416475155,0.027,0.144,6.48081163577683e-55,"0","HEXB"
"CTSS",1.03952637951362e-58,-0.646363298891189,0.07,0.2,2.09766028122053e-54,"0","CTSS"
"MGAT1",6.01244269804855e-58,-0.308955610582887,0.061,0.19,1.21325081203922e-53,"0","MGAT1"
"CMTM6",8.32625921804597e-58,-0.262786408464533,0.063,0.194,1.6801558476095e-53,"0","CMTM6"
"LIPA",1.07929586797999e-57,-0.627509094526587,0.029,0.144,2.17791113199681e-53,"0","LIPA"
"CAPNS1",3.19160680739039e-57,-0.317482874086018,0.157,0.303,6.44034337663307e-53,"0","CAPNS1"
"LGALS1",5.25808728909222e-57,-0.452027155750895,0.074,0.206,1.06102943406592e-52,"0","LGALS1"
"TMSB4XP4",1.43779006734315e-56,-0.588908913549267,0.053,0.176,2.90131657689174e-52,"0","TMSB4XP4"
"ARF1",2.25853750394702e-56,-0.312957366000668,0.179,0.326,4.5575028292147e-52,"0","ARF1"
"GADD45B",2.78839090534484e-56,-0.285328729860871,0.06,0.187,5.62669400789536e-52,"0","GADD45B"
"XIST",3.31327801663713e-56,-0.259897635242394,0.162,0.31,6.68586370977206e-52,"0","XIST"
"UBC",3.9681513813089e-56,-0.447231047855491,0.433,0.555,8.00733267234323e-52,"0","UBC"
"MT.ATP6",1.4945669100264e-55,-0.536443315056274,0.97,0.953,3.01588656774227e-51,"0","MT.ATP6"
"ATP6V0B",2.92644415570671e-55,-0.285008725154501,0.04,0.157,5.90527166180057e-51,"0","ATP6V0B"
"TYMP",2.98479998952239e-55,-0.271185345374093,0.015,0.119,6.02302789885723e-51,"0","TYMP"
"MYADM",8.43301269392737e-55,-0.391239080957072,0.113,0.25,1.7016976315076e-50,"0","MYADM"
"GNB2L1",1.71208109398009e-54,-0.359554848077423,0.513,0.617,3.45480843954241e-50,"0","GNB2L1"
"MT.ND5",1.78207416143146e-54,-0.397047523308081,0.635,0.705,3.59604745035254e-50,"0","MT.ND5"
"MT.ATP8",2.13944129252816e-54,-0.292978992886037,0.344,0.484,4.31717858419256e-50,"0","MT.ATP8"
"NR4A1",3.7045317796985e-54,-0.282577445664882,0.028,0.138,7.4753746782536e-50,"0","NR4A1"
"IFI6",1.47895804503571e-52,-0.442670565846485,0.031,0.139,2.98438943907755e-48,"0","IFI6"
"RPL23",3.50655198170135e-51,-0.389546137526407,0.577,0.653,7.07587124387514e-47,"0","RPL23"
"COL6A2",5.72604708909802e-51,-0.316390070496124,0.015,0.111,1.15545904210909e-46,"0","COL6A2"
"SRP14",5.89988342753562e-51,-0.25040990550115,0.167,0.306,1.19053747684241e-46,"0","SRP14"
"SLC16A3",8.72567151891904e-51,-0.329756298818584,0.011,0.105,1.76075325580267e-46,"0","SLC16A3"
"CLIC1",1.08303720502959e-50,-0.416936490667793,0.183,0.319,2.18546077602922e-46,"0","CLIC1"
"LDHA",3.3030764381758e-49,-0.261623053805859,0.083,0.205,6.66527794459495e-45,"0","LDHA"
"UBB",5.09673335288735e-49,-0.366904480230969,0.336,0.461,1.02846982327914e-44,"0","UBB"
"RPS24",7.89922723455764e-49,-0.392387353390752,0.592,0.67,1.59398506366139e-44,"0","RPS24"
"RPS4X",9.76040384767765e-49,-0.367124167471356,0.673,0.734,1.96955189242287e-44,"0","RPS4X"
"EIF1",3.59784008091101e-48,-0.386166101650513,0.552,0.63,7.26008149927033e-44,"0","EIF1"
"YBX1",5.22372121545515e-48,-0.393139969932201,0.14,0.267,1.05409470406669e-43,"0","YBX1"
"ATP6AP1",3.50148039786677e-47,-0.250861188885996,0.036,0.139,7.06563729485535e-43,"0","ATP6AP1"
"H3F3B",3.83770633661835e-47,-0.389079716797031,0.431,0.539,7.74410761666217e-43,"0","H3F3B"
"ZFP36L1",4.66913439968724e-47,-0.313176506058853,0.238,0.372,9.42184630512889e-43,"0","ZFP36L1"
"RPS11",5.59011405970396e-47,-0.421483409205747,0.69,0.74,1.12802911610766e-42,"0","RPS11"
"ATP6V1F",6.14039316892833e-47,-0.316679346104686,0.06,0.172,1.23906993755805e-42,"0","ATP6V1F"
"MT.ND2",1.99602494695619e-46,-0.483551483224938,0.934,0.911,4.0277787404629e-42,"0","MT.ND2"
"P4HB",3.68084070716429e-46,-0.308519184344015,0.128,0.252,7.42756846298683e-42,"0","P4HB"
"RPL37",1.35009351292245e-45,-0.364721360295483,0.828,0.836,2.7243536997262e-41,"0","RPL37"
"DBI",3.51446190235472e-45,-0.324805298789444,0.082,0.197,7.09183267276159e-41,"0","DBI"
"PPT1",7.65451311122407e-45,-0.266768249573594,0.042,0.143,1.5446042007139e-40,"0","PPT1"
"MTATP6P1",2.02138597211866e-44,-0.330775944809135,0.326,0.45,4.07895475313825e-40,"0","MTATP6P1"
"TPP1",2.57074106029606e-44,-0.298560465281228,0.062,0.169,5.18749838557143e-40,"0","TPP1"
"LY6E",5.45513827876121e-44,-0.328632947814871,0.112,0.23,1.10079235327123e-39,"0","LY6E"
"RPL12",5.59668300372431e-44,-0.33869134471395,0.51,0.602,1.12935466332153e-39,"0","RPL12"
"SAMHD1",1.24106126713993e-43,-0.261607005134868,0.064,0.17,2.50433753096167e-39,"0","SAMHD1"
"PCBP1",3.9903788743136e-43,-0.321272780185942,0.243,0.366,8.05218553047741e-39,"0","PCBP1"
"CAPG",4.15820227034395e-42,-0.422659279549278,0.048,0.147,8.39083636132706e-38,"0","CAPG"
"IFITM2",4.86023804557228e-42,-0.311986637304632,0.274,0.394,9.80747435216031e-38,"0","IFITM2"
"LITAF",6.52358475598677e-42,-0.308351693821778,0.149,0.268,1.31639416791057e-37,"0","LITAF"
"FLNA",7.47115955458669e-42,-0.529545871961486,0.295,0.411,1.50760528652005e-37,"0","FLNA"
"BCAP31",1.91470025599205e-40,-0.28124744611926,0.092,0.2,3.86367364656635e-36,"0","BCAP31"
"PLIN2",5.09721290825493e-40,-0.27064810263197,0.039,0.131,1.02856659275676e-35,"0","PLIN2"
"TSPO",5.25502236345579e-40,-0.339731162808179,0.106,0.215,1.06041096272174e-35,"0","TSPO"
"ATP6AP2",7.24961649425279e-40,-0.2659553677986,0.054,0.151,1.46290011237527e-35,"0","ATP6AP2"
"FOS",1.74914980881278e-39,-0.619215510932391,0.391,0.489,3.5296093992033e-35,"0","FOS"
"IER2",5.68994031997968e-39,-0.301359007062517,0.137,0.251,1.1481730571687e-34,"0","IER2"
"ARPC3",1.72389722285728e-38,-0.351887753496449,0.167,0.279,3.47865220600371e-34,"0","ARPC3"
"RBM3",1.58185331861453e-37,-0.255305814822514,0.278,0.389,3.19202181163226e-33,"0","RBM3"
"ARPC1B",1.86365467651423e-37,-0.410259516122642,0.196,0.309,3.76066877173807e-33,"0","ARPC1B"
"RPL18",3.30475445899237e-37,-0.316634359168504,0.69,0.727,6.6686640228007e-33,"0","RPL18"
"RPS5",5.99712870603142e-37,-0.280136721672894,0.492,0.577,1.21016060159008e-32,"0","RPS5"
"KLF2",8.07158712538946e-37,-0.31852483400095,0.262,0.387,1.62876556603234e-32,"0","KLF2"
"RPL15",3.31253026477277e-35,-0.359578051210002,0.588,0.642,6.68435482128498e-31,"0","RPL15"
"JUN",5.82662273022539e-35,-0.378681906654231,0.294,0.41,1.17575420073218e-30,"0","JUN"
"RPS23",8.35838536122574e-35,-0.331974269451718,0.618,0.67,1.68663858204174e-30,"0","RPS23"
"RPL35",1.97613670867415e-34,-0.292111613804843,0.581,0.649,3.98764626443357e-30,"0","RPL35"
"MT.ND1",3.38345031559758e-34,-0.381884395718825,0.682,0.747,6.82746439184437e-30,"0","MT.ND1"
"RPL11",5.75514313400272e-34,-0.324504142684028,0.702,0.739,1.16133033301041e-29,"0","RPL11"
"FAU",8.34873745558099e-34,-0.306248236124158,0.666,0.703,1.68469173116169e-29,"0","FAU"
"COX4I1",2.80453886323568e-33,-0.263408066961649,0.263,0.37,5.65927897212327e-29,"0","COX4I1"
"TPT1",9.76510813209174e-33,-0.414399692452979,0.922,0.903,1.97050116997479e-28,"0","TPT1"
"MT.CO1",2.71175820126381e-32,-0.518971490717334,0.878,0.878,5.47205687433024e-28,"0","MT.CO1"
"PGK1",3.85498196547006e-32,-0.273300731531448,0.136,0.236,7.77896810812203e-28,"0","PGK1"
"MCL1",7.23709616356136e-31,-0.318985683890413,0.319,0.416,1.46037363484505e-26,"0","MCL1"
"CALM3",2.06378299853102e-30,-0.357255894604155,0.166,0.265,4.16450771273575e-26,"0","CALM3"
"CFL1",3.68757876706234e-30,-0.567039429050363,0.527,0.583,7.44116519405509e-26,"0","CFL1"
"CAP1",1.03306817041506e-29,-0.316788030123749,0.202,0.3,2.08462826108056e-25,"0","CAP1"
"PPP1R15A",1.33385974080084e-29,-0.253828260611848,0.159,0.257,2.69159557096201e-25,"0","PPP1R15A"
"ENO1",2.12115628597977e-29,-0.306318861487066,0.172,0.269,4.28028126947858e-25,"0","ENO1"
"XBP1",4.35498816012009e-29,-0.365312535602996,0.112,0.201,8.78793060830633e-25,"0","XBP1"
"ATP5E",5.78335360535781e-29,-0.303976868459196,0.282,0.377,1.16702292402515e-24,"0","ATP5E"
"RPL35A",2.77461175536803e-28,-0.254636499895302,0.606,0.649,5.59888906115715e-24,"0","RPL35A"
"PPIA",3.25122563721148e-28,-0.303073529613969,0.159,0.252,6.56064821332904e-24,"0","PPIA"
"UBA52",2.2667268067964e-27,-0.302818311598415,0.518,0.588,4.57402802343446e-23,"0","UBA52"
"RPL32",4.11994008741573e-27,-0.28617603613881,0.711,0.732,8.31362710239621e-23,"0","RPL32"
"RPL34",7.95448789221117e-27,-0.274496923702874,0.754,0.781,1.60513611176929e-22,"0","RPL34"
"RPL7A",3.51951730309858e-26,-0.315276155399943,0.477,0.541,7.10203396592263e-22,"0","RPL7A"
"RPS17",2.41922944123354e-25,-0.297485296510739,0.609,0.652,4.88176308946515e-21,"0","RPS17"
"RPL4",4.45386636066145e-25,-0.266684097529803,0.523,0.58,8.98745692917874e-21,"0","RPL4"
"FCGR3A",5.19298560823756e-25,-0.251313891551003,0.045,0.112,1.04789256588626e-20,"0","FCGR3A"
"ARPC2",9.67401613015022e-25,-0.313223767173876,0.288,0.373,1.95211971490301e-20,"0","ARPC2"
"RPLP0",2.78484497263108e-24,-0.314072641769081,0.494,0.557,5.61953867027225e-20,"0","RPLP0"
"RPS13",4.17855252825443e-24,-0.25108807411771,0.546,0.601,8.43190114676461e-20,"0","RPS13"
