"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"APRT.1",6.75622445897762e-41,0.255965197718698,0.353,0.131,1.36333853357709e-36,"11","APRT"
"CNN2.1",9.82215503111326e-41,0.419653975230773,0.403,0.172,1.98201266372835e-36,"11","CNN2"
"SPN.1",1.0527398704616e-40,0.290046047413295,0.313,0.111,2.12432378460446e-36,"11","SPN"
"CTC.575D19.1.3",1.17840802805846e-40,0.530499190364075,0.491,0.246,2.37790955981917e-36,"11","CTC.575D19.1"
"SLC2A3.1",1.22081824057231e-40,0.492836734059898,0.362,0.144,2.46348912765086e-36,"11","SLC2A3"
"YWHAZ.3",1.30047987966576e-40,0.339503270525887,0.516,0.249,2.62423834917754e-36,"11","YWHAZ"
"ATP1A1.3",2.20250522598592e-40,0.319337858378154,0.482,0.221,4.44443529551698e-36,"11","ATP1A1"
"ZFP36L1.8",2.31421473173e-40,0.403337098993109,0.611,0.341,4.66985390715796e-36,"11","ZFP36L1"
"RBM39.1",2.40618701411936e-40,0.254988452561192,0.362,0.139,4.85544477579145e-36,"11","RBM39"
"ATP5I.1",2.70712613135658e-40,0.271480562976339,0.343,0.129,5.46270982046445e-36,"11","ATP5I"
"PRRC2C.1",2.89021603488438e-40,0.302654964371363,0.442,0.197,5.83216693679318e-36,"11","PRRC2C"
"RPL39.2",3.38898296130613e-40,0.408095918346885,0.537,0.273,6.83862871761965e-36,"11","RPL39"
"IFI16.1",3.6205456025796e-40,0.260607903101502,0.38,0.149,7.30589897144538e-36,"11","IFI16"
"TPM4.4",3.92204276060861e-40,0.261991952200267,0.38,0.148,7.91429008663212e-36,"11","TPM4"
"DNAJA1.1",1.54214764003185e-39,0.27041234091561,0.329,0.12,3.11189972282027e-35,"11","DNAJA1"
"HMGN1.1",1.62796807268829e-39,0.294286971525885,0.412,0.174,3.2850767738777e-35,"11","HMGN1"
"COMMD6.1",1.9433906241342e-39,0.323001903273337,0.408,0.176,3.92156794044041e-35,"11","COMMD6"
"UBE2R2.1",2.22224283648673e-39,0.258114592290272,0.318,0.114,4.48426381974658e-35,"11","UBE2R2"
"SEPT2.1",4.54874319755937e-39,0.29274351333578,0.454,0.202,9.17890889835505e-35,"11","SEPT2"
"YPEL5.1",4.8861140201038e-39,0.27288920495857,0.302,0.107,9.85968948116747e-35,"11","YPEL5"
"LY6E.5",8.12678352972141e-39,0.353430864141724,0.447,0.202,1.63990364846248e-34,"11","LY6E"
"SEC61B.1",2.00972583515876e-38,0.319125377963405,0.341,0.131,4.05542576276686e-34,"11","SEC61B"
"P4HB.5",2.40667302515238e-38,0.261897388804611,0.479,0.223,4.85642549745498e-34,"11","P4HB"
"IFITM2.6",2.51260807765489e-38,0.545060878938836,0.601,0.366,5.0701918398998e-34,"11","IFITM2"
"ANP32B.1",4.5386806559128e-38,0.282130751870155,0.41,0.176,9.15860369556645e-34,"11","ANP32B"
"GADD45B.4",4.71355318816657e-38,0.379687058594788,0.38,0.158,9.51147897840133e-34,"11","GADD45B"
"ARL6IP5.1",5.70618784086284e-38,0.263248646150114,0.438,0.193,1.15145164440771e-33,"11","ARL6IP5"
"TMA7.1",5.87194666017041e-38,0.299990332119354,0.459,0.213,1.18490011655579e-33,"11","TMA7"
"NPM1.1",9.10058230742357e-38,0.34443265686548,0.438,0.2,1.836406503815e-33,"11","NPM1"
"CHCHD2.2",1.29331506760166e-37,0.350790752348276,0.475,0.227,2.60978047491338e-33,"11","CHCHD2"
"RP11.475C16.1.1",1.54630917140521e-37,0.354390077553951,0.401,0.176,3.12029727697857e-33,"11","RP11.475C16.1"
"NCL.1",1.59535061682134e-37,0.315385632393792,0.408,0.178,3.21925800968378e-33,"11","NCL"
"CTD.2287O16.1.1",1.65217888944306e-37,0.250070281828724,0.256,0.083,3.33393178100715e-33,"11","CTD.2287O16.1"
"EEF1D.2",3.11379952336256e-37,0.366280998709708,0.541,0.292,6.2833360581933e-33,"11","EEF1D"
"RPS7P1.1",5.46550948552999e-37,0.287476747768175,0.256,0.084,1.1028851590851e-32,"11","RPS7P1"
"A2M.7",8.0545613961131e-37,0.318917929603643,0.385,0.155,1.62532994412166e-32,"11","A2M"
"CTD.3035D6.1.4",8.7305427080108e-37,0.655491080299774,0.544,0.315,1.7617362130495e-32,"11","CTD.3035D6.1"
"CD44.7",9.72850527995203e-37,0.405770771371518,0.553,0.301,1.96311508044152e-32,"11","CD44"
"CCNL1.1",1.32618853237444e-36,0.253197454776346,0.325,0.124,2.67611583947839e-32,"11","CCNL1"
"PDIA3.2",2.08432134299327e-36,0.32008462288963,0.475,0.228,4.20595203802613e-32,"11","PDIA3"
"OST4.1",2.65737446008284e-36,0.316818118280107,0.521,0.269,5.36231592300116e-32,"11","OST4"
"RPL6P27.1",2.97865514441562e-36,0.276164573672635,0.3,0.11,6.01062821591627e-32,"11","RPL6P27"
"AP2M1.1",4.43306990399211e-36,0.257815094621722,0.417,0.184,8.94549175926568e-32,"11","AP2M1"
"SCAF11.1",5.50389192756503e-36,0.264866037992738,0.373,0.155,1.11063035206335e-31,"11","SCAF11"
"CNBP.1",8.46372877956121e-36,0.279726729402219,0.433,0.198,1.70789583042766e-31,"11","CNBP"
"PSME1.1",1.14379213314986e-35,0.311241316953628,0.408,0.182,2.3080581454831e-31,"11","PSME1"
"RPSA.5",2.911351177715e-35,0.531148017361561,0.599,0.372,5.8748155415111e-31,"11","RPSA"
"WDR83OS.1",4.63921949679367e-35,0.275657790884746,0.387,0.165,9.36148102257996e-31,"11","WDR83OS"
"RP11.51O6.1.1",7.14423201922397e-35,0.285842973541654,0.346,0.141,1.44163457915921e-30,"11","RP11.51O6.1"
"PHB2.1",8.11022233961946e-35,0.254642174237112,0.401,0.176,1.63656176591181e-30,"11","PHB2"
"HNRNPC.1",8.51638447296683e-35,0.274613979502857,0.429,0.198,1.71852122279998e-30,"11","HNRNPC"
"HNRNPM.1",1.02584067910203e-34,0.290884610057535,0.417,0.191,2.07004390636e-30,"11","HNRNPM"
"HNRNPDL.1",1.04508251656788e-34,0.289580236156295,0.442,0.21,2.10887201018233e-30,"11","HNRNPDL"
"LDHA.5",1.27064144665666e-34,0.27129235577913,0.403,0.177,2.56402737520848e-30,"11","LDHA"
"SNRPD2.1",2.03715427562539e-34,0.257529199368013,0.406,0.182,4.11077361278448e-30,"11","SNRPD2"
"HSPA5.2",2.77221724814668e-34,0.329432584980258,0.445,0.211,5.59405718503519e-30,"11","HSPA5"
"ATF4.1",7.10220527733255e-34,0.272921339739738,0.353,0.147,1.43315400291294e-29,"11","ATF4"
"SNRPB.1",7.40245696922148e-34,0.260898096434118,0.389,0.17,1.4937417918192e-29,"11","SNRPB"
"MYL12A.3",8.75063768418629e-34,0.32830011372761,0.56,0.308,1.76579117829195e-29,"11","MYL12A"
"RNF213.1",1.38792967017572e-33,0.264878616193352,0.355,0.148,2.80070328144758e-29,"11","RNF213"
"TMEM109.1",3.00125371045912e-33,0.270126013705036,0.332,0.135,6.05622986233545e-29,"11","TMEM109"
"NSA2.1",3.288865540015e-33,0.250076136715359,0.293,0.111,6.63660177319628e-29,"11","NSA2"
"LRRC75A.AS1.4",5.31575771149697e-33,0.28923705939507,0.475,0.235,1.07266674860297e-28,"11","LRRC75A.AS1"
"TAP1.1",7.24741857050399e-33,0.268597211909261,0.295,0.113,1.462456593342e-28,"11","TAP1"
"CCL3.8",1.51360277203505e-32,0.33894513569647,0.265,0.093,3.05429903368953e-28,"11","CCL3"
