"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"152",8.89436493147492e-34,0.871404481751499,1,0.418,2.48250619602397e-29,"18","X"
"153",1.678564376449e-59,0.866732995964062,0.996,0.418,4.68504103110681e-55,"19","X"
"154",1.91987037211596e-43,0.858943666982677,0.991,0.42,5.35855019561285e-39,"20","X"
"155",9.13646276739633e-304,0.868679652280608,1,0.419,2.55007812300799e-299,"21","X"
"156",9.82381130796187e-42,0.868155889994647,1,0.42,2.74192397416524e-37,"22","X"
"157",9.38173240945099e-35,0.86801316213041,1,0.42,2.61853533280187e-30,"23","X"
"158",7.86671145737179e-40,0.867110375035706,1,0.42,2.19567783486704e-35,"24","X"
"159",3.27051362678389e-101,0.866730850440867,1,0.42,9.12833058371652e-97,"25","X"
"160",5.3783666045181e-30,0.866730850435554,1,0.42,1.50115590298705e-25,"26","X"
"161",7.69507799800454e-33,0.866588619644165,1,0.42,2.14777322002305e-28,"27","X"
"162",3.91620536184229e-74,0.863095879527171,1,0.422,1.0930520785438e-69,"28","X"
"163",1.66811705198339e-78,0.853661925956956,0.993,0.423,4.65588150379085e-74,"29","X"
"164",2.51736212118063e-18,0.860892989250548,1,0.423,7.02620941642724e-14,"30","X"
